sigungu_full,victim_house_cnt,year,period_note,sido_short,sigungu
창원시 진해구,2,2024,2024년,창원시,진해구
천안시 서북구,10,2024,2024년,천안시,서북구
청주시 상당구,1,2024,2024년,청주시,상당구
청주시 서원구,1,2024,2024년,청주시,서원구
청주시 청원구,3,2024,2024년,청주시,청원구
청주시 흥덕구,1,2024,2024년,청주시,흥덕구
충남 계룡시,1,2024,2024년,충남,계룡시
충남 논산시,3,2024,2024년,충남,논산시
충남 당진시,3,2024,2024년,충남,당진시
충남 보령시,3,2024,2024년,충남,보령시
충남 서산시,2,2024,2024년,충남,서산시
충남 서천군,1,2024,2024년,충남,서천군
충남 아산시,5,2024,2024년,충남,아산시
충북 보은군,2,2024,2024년,충북,보은군
충북 증평군,1,2024,2024년,충북,증평군
충북 충주시,1,2024,2024년,충북,충주시
포항시 남구,3,2024,2024년,포항시,남구
포항시 북구,2,2024,2024년,포항시,북구
화성시 동탄구,43,2024,2024년,화성시,동탄구
화성시 병점구,13,2024,2024년,화성시,병점구
화성시 효행구,2,2024,2024년,화성시,효행구
강원 강릉시,1,2025,2025년(~25.3.),강원,강릉시
강원 원주시,4,2025,2025년(~25.3.),강원,원주시
강원 정선군,1,2025,2025년(~25.3.),강원,정선군
강원 철원군,1,2025,2025년(~25.3.),강원,철원군
강원 춘천시,1,2025,2025년(~25.3.),강원,춘천시
강원 홍천군,2,2025,2025년(~25.3.),강원,홍천군
경기 광주시,4,2025,2025년(~25.3.),경기,광주시
경기 구리시,6,2025,2025년(~25.3.),경기,구리시
경기 군포시,10,2025,2025년(~25.3.),경기,군포시
경기 김포시,16,2025,2025년(~25.3.),경기,김포시
경기 남양주시,6,2025,2025년(~25.3.),경기,남양주시
경기 시흥시,13,2025,2025년(~25.3.),경기,시흥시
경기 안성시,4,2025,2025년(~25.3.),경기,안성시
경기 양주시,2,2025,2025년(~25.3.),경기,양주시
경기 여주시,3,2025,2025년(~25.3.),경기,여주시
경기 오산시,12,2025,2025년(~25.3.),경기,오산시
경기 의왕시,4,2025,2025년(~25.3.),경기,의왕시
경기 의정부시,17,2025,2025년(~25.3.),경기,의정부시
경기 이천시,10,2025,2025년(~25.3.),경기,이천시
경기 파주시,18,2025,2025년(~25.3.),경기,파주시
경기 평택시,8,2025,2025년(~25.3.),경기,평택시
경기 포천시,1,2025,2025년(~25.3.),경기,포천시
경기 하남시,12,2025,2025년(~25.3.),경기,하남시
경남 거제시,2,2025,2025년(~25.3.),경남,거제시
경남 김해시,3,2025,2025년(~25.3.),경남,김해시
경남 사천시,1,2025,2025년(~25.3.),경남,사천시
경남 진주시,5,2025,2025년(~25.3.),경남,진주시
경북 경주시,1,2025,2025년(~25.3.),경북,경주시
경북 구미시,6,2025,2025년(~25.3.),경북,구미시
경북 김천시,4,2025,2025년(~25.3.),경북,김천시
고양시 덕양구,8,2025,2025년(~25.3.),고양시,덕양구
고양시 일산동구,7,2025,2025년(~25.3.),고양시,일산동구
고양시 일산서구,5,2025,2025년(~25.3.),고양시,일산서구
광주시 광산구,34,2025,2025년(~25.3.),광주시,광산구
광주시 남구,3,2025,2025년(~25.3.),광주시,남구
광주시 동구,10,2025,2025년(~25.3.),광주시,동구
광주시 북구,2,2025,2025년(~25.3.),광주시,북구
광주시 서구,5,2025,2025년(~25.3.),광주시,서구
대구시 달서구,15,2025,2025년(~25.3.),대구시,달서구
대구시 달성군,3,2025,2025년(~25.3.),대구시,달성군
대구시 동구,1,2025,2025년(~25.3.),대구시,동구
대구시 북구,1,2025,2025년(~25.3.),대구시,북구
대구시 서구,1,2025,2025년(~25.3.),대구시,서구
대구시 수성구,1,2025,2025년(~25.3.),대구시,수성구
대구시 중구,6,2025,2025년(~25.3.),대구시,중구
대전시 대덕구,4,2025,2025년(~25.3.),대전시,대덕구
대전시 동구,4,2025,2025년(~25.3.),대전시,동구
대전시 서구,6,2025,2025년(~25.3.),대전시,서구
대전시 유성구,19,2025,2025년(~25.3.),대전시,유성구
대전시 중구,3,2025,2025년(~25.3.),대전시,중구
부산시 강서구,2,2025,2025년(~25.3.),부산시,강서구
부산시 금정구,8,2025,2025년(~25.3.),부산시,금정구
부산시 남구,5,2025,2025년(~25.3.),부산시,남구
부산시 동구,4,2025,2025년(~25.3.),부산시,동구
부산시 동래구,8,2025,2025년(~25.3.),부산시,동래구
부산시 부산진구,15,2025,2025년(~25.3.),부산시,부산진구
부산시 사상구,10,2025,2025년(~25.3.),부산시,사상구
부산시 사하구,4,2025,2025년(~25.3.),부산시,사하구
부산시 서구,1,2025,2025년(~25.3.),부산시,서구
부산시 수영구,2,2025,2025년(~25.3.),부산시,수영구
부산시 연제구,6,2025,2025년(~25.3.),부산시,연제구
부산시 영도구,2,2025,2025년(~25.3.),부산시,영도구
부산시 중구,2,2025,2025년(~25.3.),부산시,중구
부산시 해운대구,10,2025,2025년(~25.3.),부산시,해운대구
부천시 소사구,7,2025,2025년(~25.3.),부천시,소사구
부천시 오정구,7,2025,2025년(~25.3.),부천시,오정구
부천시 원미구,32,2025,2025년(~25.3.),부천시,원미구
서울시 강남구,7,2025,2025년(~25.3.),서울시,강남구
서울시 강동구,23,2025,2025년(~25.3.),서울시,강동구
서울시 강북구,22,2025,2025년(~25.3.),서울시,강북구
서울시 강서구,156,2025,2025년(~25.3.),서울시,강서구
서울시 관악구,63,2025,2025년(~25.3.),서울시,관악구
서울시 광진구,12,2025,2025년(~25.3.),서울시,광진구
서울시 구로구,62,2025,2025년(~25.3.),서울시,구로구
서울시 금천구,75,2025,2025년(~25.3.),서울시,금천구
서울시 노원구,6,2025,2025년(~25.3.),서울시,노원구
서울시 도봉구,22,2025,2025년(~25.3.),서울시,도봉구
서울시 동대문구,30,2025,2025년(~25.3.),서울시,동대문구
서울시 동작구,18,2025,2025년(~25.3.),서울시,동작구
서울시 마포구,24,2025,2025년(~25.3.),서울시,마포구
서울시 서대문구,7,2025,2025년(~25.3.),서울시,서대문구
서울시 서초구,5,2025,2025년(~25.3.),서울시,서초구
서울시 성동구,1,2025,2025년(~25.3.),서울시,성동구
서울시 성북구,19,2025,2025년(~25.3.),서울시,성북구
